"AccSpeciesName","LfArea_Uncert","LfArea_WholeLf","LfArea_Lflt","SLA","Lf_Life","N_Area","N_Dry","P_Area","P_Dry","VcM_Area","VcM_Dry"
"Anabasis brevifolia",NA,NA,NA,8.6206896552,NA,NA,NA,NA,0.6,NA,NA
"Anabasis aphylla",NA,NA,NA,2.91673237885248,NA,4.37399740874833,17.401261681956,NA,1.55,NA,NA
"Noaea mucronata",NA,9.744,NA,8.33405536500935,NA,NA,40.548997932829,NA,NA,NA,NA
"Salsola collina",55.1666666666667,122.1225,121.841625,9.85973665385538,6,2.23937872256694,21.1207559664056,0.15609769964649,1.772182734923,NA,NA
"Salsola genistoides",NA,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"Salsola arbusculiformis",NA,19.9205216714299,NA,4.55014474280707,NA,NA,NA,NA,NA,NA,NA
"Salsola laricifolia",NA,NA,NA,3.92,NA,4.13,16.21,NA,1.11,NA,NA
"Salsola soda",NA,NA,NA,4.75,NA,2.07,9.8,NA,NA,NA,NA
"Xylosalsola arbuscula",NA,NA,NA,8.26,NA,5.35835351089588,44.26,0.337772397094431,2.79,NA,NA
"Kali turgidum",32,33.1915557692308,27.8090814479638,7.53000164909556,NA,NA,25,NA,2.5,NA,NA
"Nanophyton erinaceum",2.4125,NA,0.667,2.88680735259199,NA,3.62395720598027,10.4613094127715,NA,NA,NA,NA
"Petrosimonia sibirica",NA,NA,NA,5.13,NA,3.23,16.54,NA,NA,NA,NA
"Caroxylon orientale",NA,NA,NA,NA,NA,NA,42.9,NA,3,NA,NA
"Caroxylon passerinum",2.275,NA,1.334,8.3819686137527,6,3.84296472542914,21.5308429503589,0.233318880084969,0.947182836899146,NA,NA
"Caroxylon vermiculatum",NA,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"Corispermum chinganicum",13,NA,6.67,7.30939274679854,NA,1.34272554779852,9.81450837992942,NA,NA,NA,NA
"Corispermum orientale",NA,NA,NA,NA,NA,NA,18.6,NA,2.37,NA,NA
"Corispermum heptapotamicum",NA,NA,NA,11.24,NA,1.47,16.53,NA,NA,NA,NA
"Corispermum macrocarpum",NA,190.988305701793,190.988305701793,NA,NA,NA,NA,NA,NA,NA,NA
"Corispermum mongolicum",NA,NA,NA,10.9575,NA,1.7425,19.16,NA,NA,NA,NA
"Corispermum puberulum",NA,NA,NA,9.1541816775,NA,NA,NA,NA,NA,NA,NA
